STATE_ID,STATE,ABBREVIATION,CAPITAL,POP2010,POP2011,POP2012,POP2013,POP2014,POP2015,POP2016,POP2017,POP2018,POP2019,Percent_Of_US,Density,Fun_Fact
1,Alabama,AL,Montgomery,4779736,4799069,4815588,4830081,4841799,4852347,4863525,4874486,4887681,4903185,1.51%,100,"George Washington Carver, who discovered more than 300 uses for peanuts"
2,Alaska,AK,Juneau,710231,722128,730443,737068,736283,737498,741456,739700,735139,731545,0.22%,1,"The longest coastline in the U.S., 6,640 miles, greater than that of all other states combined"
3,Arizona,AZ,Phoenix,6392017,6472643,6554978,6632764,6730413,6829676,6941072,7044008,7158024,7278717,2.18%,64,"The most telescopes in the world, in Tucson"
4,Arkansas,AR,Little Rock,2915918,2940667,2952164,2959400,2967392,2978048,2989918,3001345,3009733,3017804,0.90%,58,The only active diamond mine in the U.S.
5,California,CA,Sacramento,37253956,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223,11.93%,257,"General Sherman' a 3,500-year-old tree, and a stand of bristlecone pines 4,000 years old are the world's oldest living things"
6,Colorado,CO,Denver,5029196,5121108,5192647,5269035,5350101,5450623,5539215,5611885,5691287,5758736,1.77%,57,"The world's largest silver nugget (1,840 pounds) found in '1894' near Aspen"
7,Connecticut,CT,Hartford,3574097,3588283,3594547,3594841,3594524,3587122,3578141,3573297,3571520,3565287,1.08%,746,"The first American cookbook, published in Hartford in 1796: American Cookery by Amelia Simmons"
8,Delaware,DE,Dover,897934,907381,915179,923576,932487,941252,948921,956823,965479,973764,0.30%,517,"The first log cabins in North America, built in 1683 by Swedish immigrants"
9,Florida,FL,Tallahassee,18801310,19053237,19297822,19545621,19845911,20209042,20613477,20963613,21244317,21477737,6.59%,412,"U.S. spacecraft launchings from Cape Canaveral, formerly Cape Kennedy"
10,Georgia,GA,Atlanta,9687653,9802431,9901430,9972479,10067278,10178447,10301890,10410330,10511131,10617423,3.26%,190,"The Girl Scouts, founded in Savannah by Juliette Gordon Low in 1912"
11,Hawaii,HI,Honolulu,1360301,1379329,1394804,1408243,1414538,1422052,1427559,1424393,1420593,1415872,0.44%,230,The only royal palace in the U.S. (Iolani)
12,Idaho,ID,Boise,1567582,1583910,1595324,1611206,1631112,1651059,1682380,1717715,1750536,1787065,0.56%,23,"The longest main street in America, 33 miles, in Island Park"
13,Illinois,IL,Springfield,12830632,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821,3.82%,231,"The tallest building in the U.S., Sears Tower, in Chicago"
14,Indiana,IN,Indianapolis,6483802,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219,2.04%,191,The famous car race: the Indy 500
15,Iowa,IA,Des Moines,3046355,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070,0.96%,58,"The shortest and steepest railroad in the U.S., Dubuque: 60° incline, 296 feet"
16,Kansas,KS,Topeka,2853118,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314,0.88%,36,Helium discovered in 1905 at the University of Kansas
